date,usdcny,china_fxi,infl_tip,us_debt_tlt,credit_hyg
2016-09-04,6.679800033569336,38.65999984741211,116.13999938964844,139.63999938964844,87.0
2016-09-05,6.675899982452393,38.65999984741211,116.13999938964844,139.63999938964844,87.0
2016-09-06,6.674300193786621,38.65999984741211,116.13999938964844,139.63999938964844,87.0
2016-09-07,6.662600040435791,38.650001525878906,116.29000091552734,139.5399932861328,86.76000213623047
2016-09-08,6.662799835205078,39.02000045776367,115.87999725341797,137.7899932861328,86.5999984741211
2016-09-09,6.662799835205078,38.22999954223633,115.08000183105469,135.52000427246094,85.7699966430664
2016-09-11,6.679900169372559,38.22999954223633,115.08000183105469,135.52000427246094,85.7699966430664
2016-09-12,6.678699970245361,38.279998779296875,115.12000274658203,135.58999633789062,86.06999969482422
2016-09-13,6.676400184631348,37.2599983215332,114.61000061035156,134.0500030517578,85.41000366210938
2016-09-14,6.6732001304626465,37.2599983215332,114.79000091552734,134.25,85.38999938964844
2016-09-15,6.671199798583984,37.95000076293945,114.76000213623047,133.6699981689453,85.88999938964844
2016-09-16,6.671199798583984,37.72999954223633,114.94999694824219,134.75,85.91000366210938
2016-09-18,6.6707000732421875,37.72999954223633,114.94999694824219,134.75,85.91000366210938
2016-09-19,6.666200160980225,37.810001373291016,114.80999755859375,134.30999755859375,85.95999908447266
2016-09-20,6.66949987411499,37.88999938964844,114.79000091552734,134.77999877929688,85.86000061035156
2016-09-21,6.673600196838379,38.81999969482422,115.33000183105469,135.8699951171875,86.56999969482422
2016-09-22,6.66379976272583,38.959999084472656,115.9000015258789,136.9499969482422,86.86000061035156
2016-09-23,6.66379976272583,38.310001373291016,116.22000122070312,136.82000732421875,86.76000213623047
2016-09-25,6.657199859619141,38.310001373291016,116.22000122070312,136.82000732421875,86.76000213623047
2016-09-26,6.667699813842773,37.52000045776367,116.2699966430664,137.69000244140625,86.37999725341797
2016-09-27,6.6697998046875,38.0,116.37000274658203,138.6999969482422,86.62999725341797
2016-09-28,6.67519998550415,38.31999969482422,116.51000213623047,138.39999389648438,87.20999908447266
2016-09-29,6.668700218200684,37.91999816894531,116.48999786376953,138.75,86.87999725341797
2016-09-30,6.668700218200684,38.0099983215332,116.48999786376953,137.50999450683594,87.26000213623047
2016-10-02,6.6381001472473145,38.0099983215332,116.48999786376953,137.50999450683594,87.26000213623047
2016-10-03,6.6732001304626465,38.04999923706055,116.37999725341797,136.80999755859375,86.81999969482422
2016-10-04,6.67080020904541,37.7400016784668,115.80999755859375,135.2100067138672,86.66999816894531
2016-10-05,6.672999858856201,38.65999984741211,115.62000274658203,134.5800018310547,86.9000015258789
2016-10-06,6.673699855804443,38.79999923706055,115.68000030517578,133.8300018310547,86.94999694824219
2016-10-07,6.673699855804443,38.4900016784668,115.6500015258789,133.9199981689453,87.1500015258789
2016-10-09,6.6768999099731445,38.4900016784668,115.6500015258789,133.9199981689453,87.1500015258789
2016-10-10,6.707699775695801,39.040000915527344,115.48999786376953,133.1300048828125,87.4000015258789
2016-10-11,6.723499774932861,37.880001068115234,115.4000015258789,132.8300018310547,86.91000366210938
2016-10-12,6.718800067901611,37.83000183105469,115.36000061035156,132.9600067138672,86.87999725341797
2016-10-13,6.729300022125244,37.22999954223633,115.54000091552734,133.4600067138672,86.66000366210938
2016-10-14,6.729300022125244,37.59000015258789,115.43000030517578,131.58999633789062,86.86000061035156
2016-10-16,6.730999946594238,37.59000015258789,115.43000030517578,131.58999633789062,86.86000061035156
2016-10-17,6.731500148773193,37.25,115.94999694824219,132.42999267578125,86.73999786376953
2016-10-18,6.743000030517578,37.86000061035156,116.0199966430664,132.86000061035156,87.08999633789062
2016-10-19,6.735400199890137,37.900001525878906,116.18000030517578,132.97000122070312,87.33999633789062
2016-10-20,6.743000030517578,37.849998474121094,116.0,133.11000061035156,87.3499984741211
2016-10-21,6.743000030517578,37.83000183105469,116.12999725341797,133.30999755859375,87.37000274658203
2016-10-23,6.766300201416016,37.83000183105469,116.12999725341797,133.30999755859375,87.37000274658203
2016-10-24,6.776199817657471,38.11000061035156,115.94999694824219,132.72999572753906,87.41999816894531
2016-10-25,6.780600070953369,37.970001220703125,116.12999725341797,133.0800018310547,87.37000274658203
2016-10-26,6.769700050354004,37.59000015258789,116.01000213623047,132.17999267578125,87.0199966430664
2016-10-27,6.784800052642822,37.2599983215332,115.51000213623047,130.74000549316406,86.69999694824219
2016-10-28,6.784800052642822,36.849998474121094,115.63999938964844,130.4499969482422,86.27999877929688
2016-10-31,6.783400058746338,36.86000061035156,115.86000061035156,131.25,86.0199966430664
2016-11-01,6.774600028991699,37.099998474121094,115.87000274658203,131.00999450683594,85.30000305175781
2016-11-02,6.766300201416016,36.619998931884766,115.91999816894531,131.5800018310547,84.91999816894531
2016-11-03,6.747099876403809,36.560001373291016,115.58999633789062,130.57000732421875,84.94000244140625
2016-11-04,6.766200065612793,36.2400016784668,115.88999938964844,131.74000549316406,84.9800033569336
2016-11-07,6.755499839782715,37.36000061035156,115.83000183105469,130.6199951171875,86.16999816894531
2016-11-08,6.774099826812744,37.630001068115234,115.62999725341797,130.08999633789062,85.9800033569336
2016-11-09,6.784800052642822,36.7400016784668,114.7699966430664,124.56999969482422,85.37999725341797
2016-11-10,6.77869987487793,36.38999938964844,114.56999969482422,122.7300033569336,84.26000213623047
2016-11-11,6.801700115203857,35.97999954223633,114.25,122.04000091552734,83.47000122070312
2016-11-14,6.805099964141846,35.7599983215332,113.37000274658203,121.30999755859375,84.08999633789062
2016-11-15,6.845699787139893,36.2599983215332,113.44000244140625,121.91000366210938,85.19999694824219
2016-11-16,6.858099937438965,35.83000183105469,113.68000030517578,123.01000213623047,84.86000061035156
2016-11-17,6.7891998291015625,35.970001220703125,113.48999786376953,121.19999694824219,84.62999725341797
2016-11-18,6.8765997886657715,35.939998626708984,113.31999969482422,120.8499984741211,84.62999725341797
2016-11-21,6.892499923706055,36.2400016784668,113.58999633789062,121.1500015258789,85.30999755859375
2016-11-22,6.888899803161621,36.880001068115234,113.69000244140625,121.11000061035156,85.94000244140625
2016-11-23,6.8892998695373535,36.7400016784668,113.30999755859375,120.63999938964844,85.62000274658203
2016-11-24,6.910200119018555,36.7400016784668,113.30999755859375,120.63999938964844,85.62000274658203
2016-11-25,6.9182000160217285,37.09000015258789,113.12000274658203,120.81999969482422,85.7300033569336
2016-11-28,6.9217000007629395,37.22999954223633,113.29000091552734,121.70999908447266,85.72000122070312
2016-11-29,6.906300067901611,37.459999084472656,113.4000015258789,122.22000122070312,85.61000061035156
2016-11-30,6.897299766540527,37.59000015258789,113.45999908447266,120.23999786376953,85.6500015258789
2016-12-01,6.8907999992370605,37.59000015258789,112.88999938964844,118.7300033569336,84.87000274658203
2016-12-02,6.876500129699707,37.310001373291016,112.94999694824219,119.5999984741211,85.37999725341797
2016-12-05,6.885499954223633,37.2599983215332,113.11000061035156,119.47000122070312,85.5999984741211
2016-12-06,6.870999813079834,37.2599983215332,113.33000183105469,119.37999725341797,86.02999877929688
2016-12-07,6.872000217437744,37.689998626708984,113.43000030517578,120.4000015258789,86.45999908447266
2016-12-08,6.870500087738037,37.689998626708984,113.31999969482422,118.9800033569336,86.44999694824219
2016-12-09,6.869900226593018,37.470001220703125,112.80000305175781,117.5,86.48999786376953
2016-12-12,6.906700134277344,36.61000061035156,112.77999877929688,117.72000122070312,86.37000274658203
2016-12-13,6.896900177001953,37.0099983215332,112.73999786376953,118.13999938964844,86.58000183105469
2016-12-14,6.89169979095459,36.20000076293945,111.8499984741211,116.81999969482422,85.93000030517578
2016-12-15,6.903800010681152,35.880001068115234,111.1500015258789,117.41000366210938,85.97000122070312
2016-12-16,6.934299945831299,35.5,111.08999633789062,117.13999938964844,86.05000305175781
2016-12-19,6.9583001136779785,35.36000061035156,111.55000305175781,118.4000015258789,86.2699966430664
2016-12-20,6.953000068664551,35.22999954223633,111.66000366210938,117.80999755859375,86.38999938964844
2016-12-21,6.94980001449585,35.11000061035156,111.94000244140625,118.33000183105469,86.54000091552734
2016-12-22,6.941400051116943,34.060001373291016,112.29000091552734,117.80999755859375,86.44000244140625
2016-12-23,6.940400123596191,33.970001220703125,112.41999816894531,118.05000305175781,86.5999984741211
2016-12-26,6.945300102233887,33.970001220703125,112.41999816894531,118.05000305175781,86.5999984741211
2016-12-27,6.944699764251709,34.04999923706055,112.37000274658203,117.66999816894531,86.5199966430664
2016-12-28,6.942500114440918,34.36000061035156,112.66000366210938,118.52999877929688,86.4000015258789
2016-12-29,6.958099842071533,34.810001373291016,112.80000305175781,118.94999694824219,86.5199966430664
2016-12-30,6.945300102233887,34.709999084472656,113.16999816894531,119.12999725341797,86.55000305175781
2017-01-02,6.94379997253418,34.709999084472656,113.16999816894531,119.12999725341797,86.55000305175781
2017-01-03,6.943999767303467,35.150001525878906,113.27999877929688,119.63999938964844,86.91000366210938
2017-01-04,6.959799766540527,35.5099983215332,113.52999877929688,120.0999984741211,87.37999725341797
2017-01-05,6.925099849700928,36.02000045776367,113.91999816894531,121.9800033569336,87.25
2017-01-06,6.887899875640869,35.75,113.44999694824219,120.86000061035156,87.2300033569336
2017-01-09,6.917500019073486,35.79999923706055,113.62999725341797,121.83000183105469,87.20999908447266
2017-01-10,6.936699867248535,36.27000045776367,113.72000122070312,121.75,87.22000122070312
2017-01-11,6.921199798583984,36.529998779296875,114.08000183105469,122.16000366210938,87.2699966430664
