date,dxy,gold,oil,us10y,sp500
2016-09-06,94.81999969482422,1349.4000244140625,44.83000183105469,1.5429999828338623,2186.47998046875
2016-09-07,94.95999908447266,1344.300048828125,45.5,1.5410000085830688,2186.159912109375
2016-09-08,95.02999877929688,1336.800048828125,47.619998931884766,1.6160000562667847,2181.300048828125
2016-09-09,95.33999633789062,1330.0999755859375,45.880001068115234,1.6720000505447388,2127.81005859375
2016-09-12,95.0999984741211,1321.0,46.290000915527344,1.6720000505447388,2159.0400390625
2016-09-13,95.62999725341797,1319.0,44.900001525878906,1.7339999675750732,2127.02001953125
2016-09-14,95.33000183105469,1321.5,43.58000183105469,1.6890000104904175,2125.77001953125
2016-09-15,95.29000091552734,1313.5,43.90999984741211,1.7029999494552612,2147.260009765625
2016-09-16,96.11000061035156,1305.800048828125,43.029998779296875,1.7009999752044678,2139.159912109375
2016-09-19,95.83999633789062,1313.5,43.29999923706055,1.6959999799728394,2139.1201171875
2016-09-20,96.0199966430664,1313.699951171875,43.439998626708984,1.687999963760376,2139.760009765625
2016-09-21,95.66000366210938,1326.9000244140625,45.34000015258789,1.6679999828338623,2163.1201171875
2016-09-22,95.44999694824219,1340.4000244140625,46.31999969482422,1.6319999694824219,2177.179931640625
2016-09-23,95.4800033569336,1337.199951171875,44.47999954223633,1.6150000095367432,2164.68994140625
2016-09-26,95.30999755859375,1339.699951171875,45.93000030517578,1.5889999866485596,2146.10009765625
2016-09-27,95.44000244140625,1325.9000244140625,44.66999816894531,1.555999994277954,2159.929931640625
2016-09-28,95.43000030517578,1319.4000244140625,47.04999923706055,1.5670000314712524,2171.3701171875
2016-09-29,95.54000091552734,1321.699951171875,47.83000183105469,1.5570000410079956,2151.1298828125
2016-09-30,95.45999908447266,1313.300048828125,48.2400016784668,1.6080000400543213,2168.27001953125
2016-10-03,95.75,1309.0,48.810001373291016,1.621999979019165,2161.199951171875
2016-10-04,96.12000274658203,1266.300048828125,48.689998626708984,1.6829999685287476,2150.489990234375
2016-10-05,96.12999725341797,1265.199951171875,49.83000183105469,1.715999960899353,2159.72998046875
2016-10-06,96.66000366210938,1249.800048828125,50.439998626708984,1.7419999837875366,2160.77001953125
2016-10-07,96.5199966430664,1248.9000244140625,49.810001373291016,1.7359999418258667,2153.739990234375
2016-10-10,,,,1.7230000495910645,2163.659912109375
2016-10-11,97.69999694824219,1253.0,50.790000915527344,1.7589999437332153,2136.72998046875
2016-10-12,97.97000122070312,1251.0999755859375,50.18000030517578,1.777999997138977,2139.179931640625
2016-10-13,97.5199966430664,1255.0,50.439998626708984,1.7380000352859497,2132.550048828125
2016-10-14,98.0199966430664,1253.0999755859375,50.349998474121094,1.7940000295639038,2132.97998046875
2016-10-17,97.88999938964844,1254.4000244140625,49.939998626708984,1.7660000324249268,2126.5
2016-10-18,97.9000015258789,1260.800048828125,50.290000915527344,1.7489999532699585,2139.60009765625
2016-10-19,97.87000274658203,1267.9000244140625,51.599998474121094,1.7519999742507935,2144.2900390625
2016-10-20,98.31999969482422,1265.5999755859375,50.43000030517578,1.746999979019165,2141.340087890625
2016-10-21,98.69999694824219,1265.9000244140625,50.849998474121094,1.7400000095367432,2141.159912109375
2016-10-24,98.66999816894531,1262.0,50.52000045776367,1.7630000114440918,2151.330078125
2016-10-25,98.72000122070312,1271.9000244140625,49.959999084472656,1.7580000162124634,2143.159912109375
2016-10-26,98.62999725341797,1264.800048828125,49.18000030517578,1.7899999618530273,2139.429931640625
2016-10-27,98.88999938964844,1267.9000244140625,49.720001220703125,1.843000054359436,2133.0400390625
2016-10-28,98.3499984741211,1275.5,48.70000076293945,1.8450000286102295,2126.409912109375
2016-10-31,98.44999694824219,1271.5,46.86000061035156,1.8339999914169312,2126.14990234375
2016-11-01,97.69999694824219,1286.4000244140625,46.66999816894531,1.8200000524520874,2111.719970703125
2016-11-02,97.4000015258789,1306.800048828125,45.34000015258789,1.7990000247955322,2097.93994140625
2016-11-03,97.16000366210938,1302.0999755859375,44.65999984741211,1.812000036239624,2088.659912109375
2016-11-04,97.06999969482422,1303.300048828125,44.06999969482422,1.7829999923706055,2085.179931640625
2016-11-07,97.77999877929688,1278.300048828125,44.88999938964844,1.8279999494552612,2131.52001953125
2016-11-08,97.86000061035156,1273.4000244140625,44.97999954223633,1.8619999885559082,2139.56005859375
2016-11-09,98.5,1272.5999755859375,45.27000045776367,2.072000026702881,2163.260009765625
2016-11-10,98.79000091552734,1265.5,44.65999984741211,2.117000102996826,2167.47998046875
2016-11-11,,,,,2164.449951171875
2016-11-14,100.11000061035156,1221.199951171875,43.31999969482422,2.2219998836517334,2164.199951171875
2016-11-15,100.19000244140625,1224.0,45.810001373291016,2.23799991607666,2180.389892578125
2016-11-16,100.41000366210938,1223.4000244140625,45.56999969482422,2.2230000495910645,2176.93994140625
2016-11-17,100.88999938964844,1216.5,45.41999816894531,2.2760000228881836,2187.1201171875
2016-11-18,101.20999908447266,1208.5,45.689998626708984,2.3350000381469727,2181.89990234375
2016-11-21,101.05000305175781,1209.5999755859375,47.4900016784668,2.3389999866485596,2198.179931640625
