date,coinbase_close,binance_close,premium_usd,premium_bps,premium_bps_ema7,premium_bps_ema30
2017-08-17,4280.01,4285.08,-5.069999999999709,-11.83175109916168,-11.83175109916168,-11.83175109916168
2017-08-18,4101.72,4108.37,-6.649999999999636,-16.18646811265667,-14.320160821158819,-14.081688222800757
2017-08-19,4157.41,4139.98,17.43000000000029,42.10165266498977,10.078461226905436,5.908015810211719
2017-08-20,4050.99,4086.29,-35.30000000000018,-86.3864287654581,-25.200127113158945,-19.52246697145476
2017-08-21,4002.0,4016.0,-14.0,-34.860557768924274,-28.36667032426768,-23.012253978496606
2017-08-22,4092.0,4040.0,52.0,128.71287128712882,19.405664279257717,6.670376736618719
2017-08-23,4143.49,4114.01,29.479999999999563,71.6575798308705,34.4809510369816,17.910336886979977
2017-08-24,4312.03,4316.01,-3.980000000000473,-9.221480024375062,22.33986361842683,13.6767988887012
2017-08-25,4360.0,4280.68,79.31999999999971,185.297662988122,66.38654469081514,38.21049911342194
2017-08-26,4344.32,4337.44,6.880000000000109,15.861890884947272,53.001629628077666,35.24806455688016
2017-08-27,4340.11,4310.01,30.099999999999454,69.83742497117085,57.39618302434255,39.54099138560195
2017-08-28,4384.99,4386.69,-1.699999999999818,-3.875359325595795,41.5772100812533,34.45560045380519
2017-08-29,4599.0,4587.48,11.520000000000437,25.111826100605583,37.36069113218112,33.41586235061834
2017-08-30,4581.98,4555.14,26.839999999999236,58.92244804769797,42.848919325698894,36.12734524483047
2017-08-31,4743.94,4724.89,19.049999999999272,40.31839894685252,42.20772059677354,36.55500458968583
2017-09-01,4947.99,4834.91,113.07999999999993,233.88232666171626,90.6115036638298,55.96222968893562
2017-09-02,4649.99,4472.14,177.84999999999945,397.684330096999,167.96114340043013,88.4708362832989
2017-09-03,4626.05,4509.08,116.97000000000025,259.40990179815105,190.95295416393313,104.24948875160011
2017-09-04,4498.25,4100.11,398.1400000000003,971.0471182480474,386.8046113362749,182.09652587002606
2017-09-05,4432.51,4366.47,66.03999999999996,151.24345294940778,327.726974030811,179.39397133979733
2017-09-06,4616.18,4619.77,-3.5900000000001455,-7.770949636021207,243.652529702894,163.36920667746185
2017-09-07,4624.18,4691.61,-67.42999999999938,-143.7246488945143,146.6351748444107,137.61968999209455
2017-09-08,4350.0,4282.8,67.19999999999982,156.90669655365585,149.20649532577903,139.20621436425103
2017-09-09,4334.36,4258.81,75.54999999999927,177.39697239369522,156.26119321508597,142.2929700103118
2017-09-10,4251.36,4130.37,120.98999999999978,292.92775223527246,190.45356421524792,154.27260701301657
2017-09-11,4210.72,4208.47,2.25,5.3463610290682695,144.15062969085037,142.60400987380444
2017-09-12,4164.52,4163.72,0.8000000000001819,1.9213587849331581,108.57825397513817,131.73173304826628
2017-09-13,3855.32,3944.69,-89.36999999999989,-226.5577269696728,24.76765060964224,104.39133644332172
2017-09-14,3250.4,3189.02,61.38000000000011,192.47292271606932,66.70395406654946,111.03434276768476
2017-09-15,3740.02,3700.0,40.01999999999998,108.16216216216202,77.07035734441752,110.82006261567106
2017-09-16,3726.51,3714.95,11.5600000000004,31.117511675797793,65.58060702954252,104.93321670036615
2017-09-17,3719.97,3699.99,19.980000000000018,54.00014594634017,62.68520090817359,101.20611645623937
2017-09-18,4100.0,4035.01,64.98999999999978,161.06527617031796,87.28207283529734,105.54878718497787
2017-09-19,3910.11,3910.04,0.07000000000016371,0.17902630152111243,65.50508070403077,97.96531748422562
2017-09-20,3872.06,3900.0,-27.940000000000055,-71.64102564102603,31.217101049177614,85.84905009122156
2017-09-21,3617.47,3609.99,7.480000000000018,20.72027900354323,28.592812127959554,81.22838972524055
2017-09-22,3619.01,3595.87,23.140000000000327,64.35160336719647,37.53272304585882,80.03869052543004
2017-09-23,3787.33,3780.0,7.329999999999927,19.39153439153518,32.997344797091074,75.78887809901808
2017-09-24,3669.01,3660.02,8.990000000000236,24.562707307611564,30.888657149791992,72.21907734823674
2017-09-25,3919.78,3920.75,-0.9699999999997999,-2.4740164509340357,22.547904870124874,67.04071286483764
2017-09-26,3885.09,3882.35,2.7400000000002365,7.057581104228383,18.67529471972542,62.90208568655687
2017-09-27,4200.0,4193.0,7.0,16.694490818029983,18.1800909430184,59.72814307021709
2017-09-28,4189.42,4174.5,14.920000000000073,35.74080728230955,22.570288653789987,58.08732912285417
2017-09-29,4156.99,4174.69,-17.699999999999818,-42.39835772236966,6.328075377573189,51.2403877847875
2017-09-30,4339.0,4378.51,-39.51000000000022,-90.23617623346803,-17.81304513736285,41.6351839968336
2017-10-01,4394.81,4378.48,16.330000000000837,37.29604794358021,-4.035747207746351,41.34158034089955
2017-10-02,4392.71,4380.0,12.710000000000036,29.01826484018377,4.227766897112021,40.51035118535506
2017-10-03,4307.99,4310.0,-2.0100000000002183,-4.663573085846862,2.004929663432986,37.472209909564995
2017-10-04,4214.84,4208.59,6.25,14.850579410206066,5.2163445250513005,35.95496217918969
2017-10-05,4320.04,4292.43,27.609999999999673,64.32253991328851,19.992901740394963,37.85274644148693
2017-10-06,4362.99,4369.0,-6.010000000000218,-13.756008239872441,11.5556706616881,34.408343121901396
2017-10-07,4425.0,4423.0,2.0,4.521817770744008,9.797206878783008,32.41812347557405
2017-10-08,4603.49,4640.0,-36.51000000000022,-78.68534482758704,-12.323436332806088,25.034792109054386
2017-10-09,4769.55,4786.95,-17.399999999999636,-36.34882336351897,-18.32978416674803,20.96346332007184
2017-10-10,4750.0,4783.06,-33.0600000000004,-69.11893223166877,-31.027072889376797,14.99945366143731
2017-10-11,4814.99,4821.43,-6.440000000000509,-13.357033079398617,-26.609562491627738,13.125246981895103
2017-10-12,5440.0,5430.0,10.0,18.416206261511192,-15.353119452414267,13.474399001077494
2017-10-13,5624.8,5649.98,-25.17999999999938,-44.566529439040714,-22.656472363142594,9.649898391302276
2017-10-14,5819.13,5869.99,-50.85999999999967,-86.64409990476906,-38.65337992877106,3.3135073017772396
2017-10-15,5693.7,5709.99,-16.289999999999964,-28.5289466356331,-36.122271524765566,1.220884488674087
2017-10-16,5754.9,5760.02,-5.1200000000008,-8.888858024800328,-29.31391798692748,0.55728985914328
2017-10-17,5594.0,5595.0,-1.0,-1.7873100983023527,-22.432265891321215,0.40356500684137653
2017-10-18,5574.44,5512.06,62.3799999999992,113.17003080517863,11.468308738910654,7.789403507161263
2017-10-19,5704.01,5683.9,20.110000000000582,35.38063653477419,17.44639074819951,9.594769557937296
2017-10-20,5989.1,6010.01,-20.909999999999854,-34.79195542103852,4.386804107054823,6.6930901373901515
2017-10-21,6024.86,6024.97,-0.11000000000058208,-0.18257352318862274,3.24445969301,6.243994214145162
2017-10-22,6005.05,5950.02,55.029999999999745,92.48708407702865,25.555115883991345,11.872605218421759
2017-10-23,5905.99,5915.93,-9.94000000000051,-16.80209197877702,14.965813884490183,10.002565279270097
2017-10-24,5525.43,5477.03,48.400000000000546,88.36906133433686,33.31662579089412,15.109717055792027
2017-10-25,5739.97,5689.99,49.98000000000047,87.83846720293198,46.94708616838289,19.846358822013716
2017-10-26,5891.61,5861.77,29.839999999999236,50.906125624170514,47.936846033662945,21.867967867681315
2017-10-27,5780.0,5768.83,11.170000000000073,19.36267839405925,40.793304116545556,21.704997467401757
2017-10-28,5752.01,5719.64,32.36999999999989,56.59447098069093,44.743595835574865,23.973363892308164
2017-10-29,6140.01,6169.98,-29.969999999999345,-48.57390137407158,21.414221519906516,19.2590022132779
2017-10-30,6124.16,6120.5,3.6599999999998545,5.979903602646441,17.555642038947042,18.396485340324112
2017-10-31,6445.01,6463.0,-17.98999999999978,-27.83537057094221,6.207888882847576,15.39490027308631
2017-11-01,6783.69,6753.98,29.710000000000036,43.98887766916771,15.65313608169189,17.250595002660763
2017-11-02,7039.98,7019.98,20.0,28.49010965843224,18.862379476453984,17.979739609149803
2017-11-03,7170.01,7115.04,54.970000000000255,77.25887697047406,33.461503851927645,21.824000800699203
2017-11-04,7412.55,7357.09,55.460000000000036,75.38306585892052,43.941894354735794,25.29615463570274
2017-11-05,7392.0,7345.01,46.98999999999978,63.97540643239496,48.95027237453048,27.802889470079933
2017-11-06,6969.76,6960.12,9.640000000000327,13.850335913749845,40.17528825883613,26.898912889340956
2017-11-07,7126.63,7064.04,62.590000000000146,88.60368854083589,52.28238832985264,30.895631988045462
2017-11-08,7467.96,7303.0,164.96000000000004,225.8797754347519,95.68173510746622,43.521847366935226
2017-11-09,7156.0,7079.99,76.01000000000022,107.35890869902454,98.60102850542586,47.65463432813867
2017-11-10,6577.62,6506.98,70.64000000000033,108.56034596694597,101.0908578708507,51.59676580747568
2017-11-11,6346.7,6245.05,101.64999999999964,162.7689129790788,116.51037164811588,58.79089625402573
2017-11-12,5886.35,5811.03,75.32000000000062,129.61557589618477,119.78667271016626,63.37318063404183
2017-11-13,6535.87,6465.99,69.88000000000011,108.07316435688996,116.85829562182494,66.2646951811682
2017-11-14,6605.0,6574.99,30.01000000000022,45.64265496981746,99.05438545872167,64.93094227455975
2017-11-15,7294.0,7240.06,53.9399999999996,74.50214500984708,92.91632534647681,65.54987123001362
2017-11-16,7838.53,7864.5,-25.970000000000255,-33.02180685358258,61.431792296361095,59.17661377162645
2017-11-17,7714.71,7699.19,15.520000000000437,20.157964669011985,51.11333538949902,56.65417420466854
2017-11-18,7777.01,7761.94,15.070000000000618,19.415249280463343,43.18881386222582,54.247103585174564
2017-11-19,8031.82,8038.0,-6.180000000000291,-7.688479721323915,30.469490466321197,50.244166538670804
2017-11-20,8256.01,8212.0,44.01000000000022,53.59230394544667,36.25019383610842,50.460534058928204
2017-11-21,8109.0,8119.51,-10.510000000000218,-12.944130865040204,23.951612660811914,46.36355742583378
2017-11-22,8250.0,8205.92,44.07999999999993,53.71731627897836,31.39303856535777,46.83868271368663
2017-11-23,8031.16,8019.99,11.170000000000073,13.927698164213353,27.026703465069797,44.71250807422601
2017-11-24,8215.01,8138.0,77.01000000000022,94.63013025313272,43.92756016209095,47.93709341712905
