date,ibit_close,ibit_volume,fbtc_close,fbtc_volume,arkb_close,arkb_volume,bitb_close,bitb_volume,etf_total_dollar_vol
2024-01-11,26.6299991607666,37657300,40.880001068115234,16805200,15.58666706085205,17925000,25.540000915527344,4781900,2091331198.7903595
2024-01-12,24.969999313354492,22991900,38.349998474121094,11393000,14.619999885559082,10364400,23.959999084472656,3270000,1240905983.648491
2024-01-16,24.719999313354492,15078200,38.099998474121094,8479200,14.50333309173584,8599500,23.719999313354492,2224500,873277152.1033287
2024-01-17,24.40999984741211,13964500,37.400001525878906,7913000,14.286666870117188,3750900,23.399999618530273,1956000,736177912.960434
2024-01-18,23.34000015258789,17823200,35.7599983215332,10271800,13.649999618530273,8620800,22.34000015258789,2856900,964810104.6260834
2024-01-19,23.799999237060547,18284100,36.4900016784668,13819400,13.90999984741211,6289800,22.729999542236328,4606200,1131621536.1774445
2024-01-22,22.950000762939453,17222100,35.18000030517578,11640300,13.401666641235352,9714900,21.969999313354492,2280000,985040415.3791428
2024-01-23,22.31999969482422,13431700,34.34000015258789,10426500,13.073332786560059,8473500,21.389999389648438,2329200,818440023.4372139
2024-01-24,22.600000381469727,11929100,34.599998474121094,7558400,13.199999809265137,7111200,21.600000381469727,1671000,661079732.2984695
2024-01-25,22.760000228881836,8954900,34.810001373291016,6420800,13.289999961853027,3729000,21.729999542236328,1260100,504261965.14816284
2024-01-26,23.989999771118164,20273800,36.75,9170600,14.006667137145996,7229700,22.90999984741211,2831900,989530837.3290062
2024-01-29,24.670000076293945,19012900,37.81999969482422,8468300,14.403332710266113,7533000,23.56999969482422,2239700,950609381.4891815
2024-01-30,24.8799991607666,15541300,38.130001068115234,7622200,14.536666870117188,6047700,23.780000686645508,1684500,805272836.485672
2024-01-31,24.299999237060547,13369300,37.2400016784668,6036500,14.183333396911621,4866300,23.219999313354492,1264400,648052972.3732948
2024-02-01,24.540000915527344,12411400,37.65999984741211,4569500,14.353333473205566,5284200,23.450000762939453,1315200,583350462.4082565
2024-02-02,24.5,10329000,37.58000183105469,4967400,14.316666603088379,6437700,23.40999984741211,1732200,572452607.4219704
2024-02-05,24.190000534057617,6807500,37.06999969482422,3112800,14.126667022705078,3540600,23.1200008392334,1001200,353229545.78647614
2024-02-06,24.600000381469727,7352900,37.72999954223633,3485900,14.373332977294922,4214100,23.520000457763672,880900,393693779.1120529
2024-02-07,25.219999313354492,13952200,38.65999984741211,5326400,14.723333358764648,5939700,24.100000381469727,1912700,691341351.4877319
2024-02-08,26.030000686645508,18568500,39.880001068115234,6192800,15.199999809265137,6432000,24.850000381469727,1988300,877482592.8962708
2024-02-09,27.149999618530273,20742800,41.63999938964844,9931400,15.866666793823242,7257900,25.950000762939453,2059000,1145300234.5193863
2024-02-12,28.65999984741211,35138600,44.02000045776367,10984400,16.770000457763672,6404100,27.399999618530273,3209900,1685953582.373619
2024-02-13,28.219999313354492,20913600,43.290000915527344,7508000,16.489999771118164,9443700,26.989999771118164,3684900,1170385165.5086517
2024-02-14,29.549999237060547,28134500,45.31999969482422,10127000,17.273332595825195,11683500,28.260000228881836,3330800,1586271480.590248
2024-02-15,29.520000457763672,22844700,45.31999969482422,8284400,17.280000686645508,10072500,28.229999542236328,4990700,1364764825.5609512
2024-02-16,29.6200008392334,15976500,45.43000030517578,5304600,17.323333740234375,5675700,28.34000015258789,1714700,861128566.5979385
2024-02-20,29.670000076293945,21166400,45.52000045776367,7629400,17.360000610351562,8202900,28.3700008392334,6324300,1297120126.421547
2024-02-21,29.079999923706055,17664400,44.619998931884766,7042400,17.00666618347168,11431800,27.81999969482422,1189000,1055407417.243576
2024-02-22,29.719999313354492,15468400,45.560001373291016,5628000,17.3700008392334,3781500,28.420000076293945,1096300,812974029.3647766
2024-02-23,29.15999984741211,13285800,44.75,5043800,17.046667098999023,4056300,27.899999618530273,1534700,725088501.140976
2024-02-26,31.1200008392334,42806400,47.720001220703125,12383100,18.176666259765625,15595500,29.770000457763672,2829800,2290774096.990204
2024-02-27,32.59000015258789,42006400,49.93000030517578,11636500,19.046667098999023,10775700,31.149999618530273,2914500,2246026875.507736
2024-02-28,34.45000076293945,96833400,52.84000015258789,27106800,20.166667938232422,21924600,32.970001220703125,7881400,5470229915.513611
2024-02-29,35.41999816894531,53837500,54.33000183105469,18719000,20.760000228881836,9501300,33.83000183105469,4537600,3274681462.1793747
2024-03-01,35.9900016784668,35133600,55.189998626708984,14617100,21.059999465942383,5721900,34.43000030517578,3244600,2303390841.831398
2024-03-04,38.650001525878906,63439000,59.27000045776367,18891300,22.59666633605957,12509700,36.95000076293945,5043500,4040639652.1600723
2024-03-05,35.31999969482422,107143600,54.18000030517578,37918500,20.68000030517578,25505400,33.810001373291016,9046600,6672053499.081421
2024-03-06,38.290000915527344,45934300,58.630001068115234,19354800,22.366666793823242,8527200,36.599998474121094,3430000,3209859369.5777893
2024-03-07,38.630001068115234,41450800,59.25,19018400,22.593332290649414,10567500,36.959999084472656,4037600,3116069379.5591354
2024-03-08,39.54999923706055,89934000,60.72999954223633,27919100,23.1299991607666,11887200,37.849998474121094,8237900,5839171990.05928
2024-03-11,41.119998931884766,74430400,63.09000015258789,22552500,24.066667556762695,14723700,39.36000061035156,5633800,5059511961.4851
2024-03-12,40.72999954223633,98022800,62.5,26079300,23.799999237060547,22278300,38.9900016784668,5712200,6375367059.719467
2024-03-13,41.95000076293945,59347000,64.4000015258789,16266200,24.536666870117188,11204100,40.15999984741211,2932800,3929842516.9303894
2024-03-14,39.5099983215332,99521100,60.630001068115234,20022200,23.139999389648438,17618700,37.83000183105469,4377600,5719325824.605179
2024-03-15,39.38999938964844,68768300,60.47999954223633,19669000,23.049999237060547,9571200,37.709999084472656,4133500,4274854839.9368286
2024-03-18,38.13999938964844,53201600,58.529998779296875,10788900,22.286666870117188,9556200,36.5,2714500,2972638391.30249
2024-03-19,36.70000076293945,69685200,56.349998474121094,17171600,21.469999313354492,14887500,35.13999938964844,4167200,3991136547.197914
2024-03-20,37.54999923706055,71309300,57.59000015258789,18122400,21.97333335876465,16595400,35.939998626708984,3981800,4229095322.314453
2024-03-21,37.150001525878906,47085900,57.04999923706055,12246800,21.739999771118164,10282200,35.54999923706055,2585900,2763384956.1775208
2024-03-22,36.40999984741211,39957400,55.90999984741211,9250700,21.333332061767578,8810700,34.84000015258789,2784100,2257015196.7128754
2024-03-25,40.54999923706055,64562000,62.20000076293945,20329900,23.709999084472656,12596100,38.79999923706055,3225100,4306296243.260956
2024-03-26,39.630001068115234,44351400,60.79999923706055,9752400,23.176666259765625,7525800,37.90999984741211,2234800,2609736164.528656
2024-03-27,39.130001068115234,46746900,60.040000915527344,9846300,22.899999618530273,8552700,37.459999084472656,1917300,2688056990.927696
2024-03-28,40.470001220703125,44620800,62.060001373291016,10605800,23.65999984741211,9526800,38.709999084472656,3192800,2812997164.65683
2024-04-01,39.75,34652000,61.029998779296875,9116300,23.260000228881836,5875800,38.06999969482422,1897700,2142701325.637436
2024-04-02,37.599998474121094,34073400,57.65999984741211,11730500,21.989999771118164,5929500,35.970001220703125,1991000,2159546392.2914505
2024-04-03,37.540000915527344,29387400,57.59000015258789,8566200,21.956666946411133,3618900,35.91999816894531,2289300,1758221116.0326004
2024-04-04,39.08000183105469,44185500,59.93000030517578,9555500,22.84666633605957,5534100,37.380001068115234,2678000,2525969917.852974
2024-04-05,38.40999984741211,28670500,58.939998626708984,7150300,22.476667404174805,5460000,36.72999954223633,2755300,1746597344.5713043
2024-04-08,40.95000076293945,40056700,62.83000183105469,7785200,23.93000030517578,6236400,39.18000030517578,2465700,2375309206.471634
2024-04-09,39.33000183105469,35513700,60.310001373291016,8102600,22.99333381652832,7454700,37.63999938964844,2097700,2135787535.4764938
2024-04-10,40.0,38908000,61.33000183105469,9814500,23.383333206176758,6188400,38.25,1853800,2373856572.1839905
2024-04-11,40.16999816894531,27725500,61.689998626708984,7879000,23.503332138061523,5789400,38.43000030517578,1959600,1811166403.0910492
2024-04-12,38.13999938964844,57221400,58.5099983215332,13398700,22.296667098999023,10749300,36.470001220703125,3374600,3329127305.352211
2024-04-15,36.08000183105469,46360300,55.36000061035156,10387300,21.10333251953125,8256000,34.5099983215332,2166900,2496729471.8723297
2024-04-16,35.75,35341700,54.88999938964844,7728000,20.906667709350586,4731000,34.220001220703125,2349500,1866965028.0841827
2024-04-17,34.7599983215332,52597900,53.29999923706055,9862700,20.350000381469727,8520600,33.2599983215332,2656600,2615737542.9828644
2024-04-18,36.209999084472656,35544200,55.59000015258789,8162300,21.18666648864746,7046100,34.68000030517578,2050600,1961195887.0752335
2024-04-19,36.66999816894531,34806700,56.31999969482422,5964300,21.47333335876465,5412900,35.11000061035156,2065100,1801009667.844963
2024-04-22,37.93000030517578,29881100,58.22999954223633,6580400,22.200000762939453,4821000,36.33000183105469,1568500,1680576632.6568604
2024-04-23,37.900001525878906,17572300,58.189998626708984,4001300,22.183332443237305,2796300,36.2599983215332,1675100,1021596214.0176773
2024-04-24,36.40999984741211,32178000,55.900001525878906,8738500,21.303333282470703,8093700,34.86000061035156,2906200,1933816060.7860565
2024-04-25,36.86000061035156,25317100,56.61000061035156,5595300,21.586666107177734,3738600,35.290000915527344,2188800,1407884921.7796326
2024-04-26,36.31999969482422,20226000,55.75,5531400,21.239999771118164,2640000,34.75,1198000,1140687963.2232666
2024-04-29,35.869998931884766,21694900,55.08000183105469,4100300,20.989999771118164,3861900,34.34000015258789,1250900,1128057757.6421738
2024-04-30,33.56999969482422,41584300,51.68000030517578,9484200,19.69333267211914,7215000,32.189998626708984,3482300,2140311024.6509552
2024-05-01,32.38999938964844,45405600,49.720001220703125,10785800,18.956666946411133,7567800,31.020000457763672,3745300,2266596817.2843933
2024-05-02,33.79999923706055,23146300,51.93000030517578,6578200,19.793333053588867,5177100,32.36000061035156,2708500,1314069976.553154
2024-05-03,35.400001525878906,26368300,54.380001068115234,6741600,20.713333129882812,4213500,33.88999938964844,1872400,1450777339.4355774
2024-05-06,36.0099983215332,27166600,55.290000915527344,5373100,21.079999923706055,3187500,34.4900016784668,1583100,1397141545.7349777
2024-05-07,35.93000030517578,14753300,55.15999984741211,3769500,21.016666412353516,3126900,34.36000061035156,1736000,863377668.1915283
2024-05-08,35.380001068115234,14277700,54.36000061035156,3043900,20.713333129882812,1900200,33.88999938964844,1177300,749869619.0029144
2024-05-09,35.58000183105469,16930100,54.65999984741211,4555800,20.833332061767578,3366000,34.040000915527344,1416600,969739077.3216248
2024-05-10,34.58000183105469,28986000,53.04999923706055,7052500,20.213333129882812,5576100,33.06999969482422,1892000,1551751058.9824677
2024-05-13,36.0,17204900,55.2599983215332,4618300,21.06333351135254,3586200,34.439998626708984,1707900,1008941050.5413055
2024-05-14,35.06999969482422,13742700,53.86000061035156,3528300,20.523332595825195,2188800,33.56999969482422,1070000,752832095.0187683
2024-05-15,37.66999816894531,40518600,57.849998474121094,11333900,22.020000457763672,6952800,36.060001373291016,4324100,2491029396.6350555
