horizon,model,accuracy,macro_f1,bear_f1,bull_f1,sharpe,coverage
Short 7d,Setup A (Gate 20%),0.5614307931570762,0.5574478678537957,0.5154639175257731,0.5994318181818182,0.48622446516276924,20.01244942421413
Short 7d,Setup B (Dual-Q 20%),0.5287713841368584,0.528547887129676,0.5182829888712241,0.5388127853881278,0.08279556831471117,40.02489884842826
Short 7d,Triple-Barrier Adaptive,0.5294117647058824,0.5292636132137998,0.5209125475285171,0.5376146788990825,0.14617155852463015,100.0
Short 7d,"Focal Loss (alpha=0.5, gamma=2)",0.5347027699968876,0.5068176313516891,0.38954675377705184,0.6240885089263264,0.6962131457255212,100.0
Short 7d,Direct Sharpe Policy,0.5496420790538438,0.49299179390642833,0.3235156615240767,0.66246792628878,0.8798512923205979,100.0
Short 7d,Meta-Labeling (de Prado),0.5382700684505289,0.48262956020687975,0.31296296296296294,0.6522961574507966,0.5271637341127584,50.01556178026766
Short 7d,Combined SOTA (Focal+TB+Meta),0.5544492843808339,0.48584731978479634,0.2980392156862745,0.6736554238833181,0.877571777726711,50.01556178026766
Short 14d,Setup A (Gate 35%),0.6149732620320856,0.5831521589564356,0.46798029556650245,0.6983240223463687,0.648914886217779,34.99688084840923
Short 14d,Setup B (Dual-Q 20%),0.5708722741433022,0.5708595195822898,0.5731990704879938,0.5685199686765857,0.27071336219869685,40.04990642545228
Short 14d,Triple-Barrier Adaptive,0.5442919525888958,0.5421161834852699,0.5105527638190954,0.5736796031514444,0.3065566352069046,100.0
Short 14d,"Focal Loss (alpha=0.5, gamma=2)",0.5464753587024329,0.5018055248590443,0.352626892252894,0.6509841574651944,0.6139864200711076,100.0
Short 14d,Direct Sharpe Policy,0.5786026200873362,0.5155023268451474,0.3406539775500244,0.6903506761402705,0.9220711950918843,100.0
Short 14d,Meta-Labeling (de Prado),0.578914535246413,0.502568699789677,0.3076923076923077,0.6974450918870462,0.6256446953732492,50.0
Short 14d,Combined SOTA (Focal+TB+Meta),0.5820336868371803,0.4912991171232617,0.27645788336933047,0.706140350877193,1.161120966767648,50.0
Medium 30d,Setup A (Gate 50%),0.6050156739811913,0.5710213010112601,0.450261780104712,0.6917808219178082,0.5895146965974966,50.0
Medium 30d,Setup B (Dual-Q 30%),0.577324973876698,0.5768665422209542,0.5629389519178822,0.5907941325240263,0.7418180814034832,60.0
Medium 30d,Triple-Barrier Adaptive,0.5683385579937305,0.5628014080314164,0.5135994348286824,0.6120033812341504,0.5297745450958243,100.0
Medium 30d,"Focal Loss (alpha=0.5, gamma=2)",0.5702194357366771,0.5516621955798825,0.4604486422668241,0.6428757488929409,0.6457963938390637,100.0
Medium 30d,Direct Sharpe Policy,0.5620689655172414,0.5175529999061398,0.3710040522287258,0.6641019475835538,0.6793738587175494,100.0
Medium 30d,Meta-Labeling (de Prado),0.5623824451410658,0.5035681416055477,0.3326959847036329,0.6744402985074627,0.6694770677337692,50.0
Medium 30d,Combined SOTA (Focal+TB+Meta),0.5228840125391849,0.48697156860631774,0.3512361466325661,0.6227069905800694,0.3486844671705583,50.0
Long 90d,Setup A (Gate 100%),0.6514376996805111,0.6240364422057993,0.5225382932166301,0.7255345911949685,0.6852302349144272,100.0
Long 90d,Setup B (Dual-Q 25%),0.6334610472541508,0.6322463768115942,0.6533816425120773,0.6111111111111112,0.7062123216797861,50.031948881789134
Long 90d,Triple-Barrier Adaptive,0.5926517571884984,0.5753951673729848,0.4897959183673469,0.6609944163786227,0.4181463726766524,100.0
Long 90d,"Focal Loss (alpha=0.5, gamma=2)",0.45271565495207666,0.31163404442489556,0.6232680888497911,0.0,-0.6465735020431401,100.0
Long 90d,Direct Sharpe Policy,0.45271565495207666,0.31163404442489556,0.6232680888497911,0.0,,100.0
Long 90d,Meta-Labeling (de Prado),0.6472843450479233,0.43940880561914997,0.09803921568627451,0.7807783955520254,0.8531079715516762,50.0
Long 90d,Combined SOTA (Focal+TB+Meta),0.3501597444089457,0.25934690014197825,0.5186938002839565,0.0,-0.9367299078333069,50.0
